scheme,measurement_type,10,20,50,100,200,500
7,"Y0(95,0.4)",4.4083001303258795,4.408064702294546,4.4080040812459735,4.408004182839957,4.408005595905053,4.408005211655098
7,"Y0(100,0.4)",5.812917999290742,5.812733948948074,5.812672550629335,5.812682463629336,5.812683054464011,5.812682422146281
7,"Y0(105,0.4)",5.6220611531173095,5.621870089561165,5.621809885720017,5.621816549196421,5.621816974768385,5.6218166527544415
7,Runtime[s],3.642793893814087,3.401176929473877,7.729457139968872,14.856875896453857,28.48162293434143,71.47596001625061
8,"Y0(95,0.4)",4.408132664261936,4.4072828000718856,4.407013335172898,4.406990244355279,4.406986609816802,4.406986061919769
8,"Y0(100,0.4)",5.818964209820588,5.817765582484757,5.817438187920658,5.817392471832592,5.817389116438611,5.817389204341432
8,"Y0(105,0.4)",5.63359786474491,5.632451651641819,5.632154511615701,5.632118086643992,5.632114604826237,5.632114633049501
8,Runtime[s],2.9901790618896484,5.665327072143555,13.043776988983154,24.65271496772766,57.97733402252197,146.7952699661255
9,"Y0(95,0.4)",4.406943866341102,4.405874139043785,4.405480852137364,4.405424018146079,4.405407133524877,4.405403473422101
9,"Y0(100,0.4)",5.821441997275169,5.819929783718741,5.819369880114491,5.81929332102131,5.819272927768926,5.819268407717285
9,"Y0(105,0.4)",5.638095181632134,5.636596132538909,5.636055486660441,5.63597826549583,5.635962101731115,5.6359583736837635
9,Runtime[s],6.433741092681885,12.205006837844849,28.900791883468628,55.80211114883423,108.3887391090393,245.40746903419495
10,"Y0(95,0.4)",4.40617234801524,4.405244166267368,4.404790685495472,4.404706269257865,4.404676830803216,4.404667100011096
10,"Y0(100,0.4)",5.822261122031782,5.8206926453975,5.820012196915262,5.819885168431147,5.819844634163274,5.819832052253556
10,"Y0(105,0.4)",5.639659256544322,5.637973551946297,5.637296053191072,5.6371682384322455,5.637128983564994,5.637117672601148
10,Runtime[s],13.499155044555664,19.423651933670044,45.781708002090454,94.94044995307922,188.32427096366882,461.6932590007782
