scheme,measurement_type,10,20,50,100,200,500
7,"Y0(95,0.4)",4.408377665236383,4.408076159362286,4.408004921772568,4.408004272222177,4.408005606519561,4.4080052123005435
7,"Y0(100,0.4)",5.813014880386875,5.812748504212447,5.812673572330828,5.812682570668816,5.812683067225194,5.812682422921387
7,"Y0(105,0.4)",5.622148911457231,5.621883270362696,5.6218107501694305,5.621816640167103,5.621816985570447,5.621816653411641
7,Runtime[s],1.377845048904419,2.6581320762634277,6.35945200920105,12.387748956680298,24.452924013137817,60.19942021369934
8,"Y0(95,0.4)",4.408200244228611,4.407296703169065,4.4070151036755085,4.406990505209247,4.406986647860027,4.406986063708327
8,"Y0(100,0.4)",5.819066649204499,5.817786126064894,5.8174408019657164,5.817392848925624,5.81738916478294,5.817389206620583
8,"Y0(105,0.4)",5.633699199448202,5.632473315987381,5.632157228108323,5.632118439761605,5.632114647274356,5.632114635110108
8,Runtime[s],2.5443148612976074,4.8529438972473145,11.549854040145874,22.552673816680908,44.27448797225952,108.60846710205078
9,"Y0(95,0.4)",4.406987852040961,4.4058857109669995,4.4054829597991105,4.405424508102897,4.405407235825632,4.405403480965642
9,"Y0(100,0.4)",5.821480660542363,5.819945113046066,5.819373791265197,5.819294120441411,5.819273073095275,5.819268417903556
9,"Y0(105,0.4)",5.63813806810192,5.636611141854978,5.636059801018094,5.6359791138721285,5.635962240447334,5.635958383060096
9,Runtime[s],4.803340911865234,9.202292919158936,22.21002697944641,43.7522451877594,86.15005993843079,211.2718460559845
10,"Y0(95,0.4)",4.406208756952719,4.405251959011334,4.404792408339339,4.404706700876011,4.4046769462916755,4.404667116950568
10,"Y0(100,0.4)",5.822282251551099,5.820700816105909,5.82001532486,5.8198859771163445,5.819844824797343,5.819832078755204
10,"Y0(105,0.4)",5.6396753605988375,5.637981884851746,5.637299885421905,5.637169172015161,5.637129185620383,5.637117699849672
10,Runtime[s],11.09979510307312,21.364314794540405,49.87459206581116,100.20580291748047,195.72251915931702,482.85816192626953
