scheme,measurement_type,10,20,50,100,200
LawsonEuler,Y0(100),25.037743070245266,26.352226213278275,26.354533665706075,26.343740915814383,26.33720237687917
LawsonEuler,Runtime[s],5.256757020950317,0.6053400039672852,1.5152418613433838,2.811455011367798,5.39880108833313
NorsettEuler,Y0(100),26.077693475189964,26.45268298234233,26.388122725619375,26.35970046229027,26.34517054048681
NorsettEuler,Runtime[s],1.2466859817504883,0.5286240577697754,1.2956748008728027,2.5078248977661133,5.233642101287842
ETDRK2,Y0(100),25.865774228847023,26.318154046608324,26.3309624315659,26.330703220372968,26.33057278825557
ETDRK2,Runtime[s],1.5116910934448242,1.2709240913391113,2.892163038253784,5.848259925842285,10.784470081329346
ETDRK3,Y0(100),26.121220200961922,26.31367211677031,26.330241858429616,26.330525339555553,26.330528242180577
ETDRK3,Runtime[s],1.7800471782684326,1.7056870460510254,3.8071320056915283,8.016138076782227,16.679156064987183
ETDRK4,Y0(100),26.094707333517178,26.313626262838728,26.330239203028132,26.33052459280161,26.330528077416812
ETDRK4,Runtime[s],3.0991430282592773,2.7168939113616943,6.470295190811157,14.354894161224365,27.32243514060974
HochOst4,Y0(100),26.107973987517138,26.3136404838108,26.330242117547176,26.330524752433757,26.330528094426597
HochOst4,Runtime[s],2.2788290977478027,2.7886312007904053,6.840644836425781,14.27010989189148,29.638652086257935
